Date,Affected pages
2025-12-14,966
2025-12-15,1020
2025-12-16,1020
2025-12-17,1020
2025-12-18,1020
2025-12-19,1020
2025-12-20,1020
2025-12-21,1020
2025-12-22,1020
2025-12-23,1020
2025-12-24,1020
2025-12-25,1020
2025-12-26,1020
2025-12-27,1020
2025-12-28,1020
2025-12-29,1020
2025-12-30,1020
2025-12-31,1020
2026-01-01,1020
2026-01-02,1020
2026-01-03,1021
2026-01-04,1021
2026-01-05,1021
2026-01-06,1021
2026-01-07,1021
2026-01-08,1021
2026-01-09,1021
2026-01-10,1021
2026-01-11,1021
2026-01-12,1021
2026-01-13,1021
2026-01-14,1021
2026-01-15,1021
2026-01-16,1021
2026-01-17,1021
2026-01-18,1021
2026-01-19,1021
2026-01-20,1019
2026-01-21,1019
2026-01-22,1019
2026-01-23,1019
